Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Install Date,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
247234,REGENT'S PARK ROAD,Primrose Hill,NW1 8JA,S/O NO. 150,35/18,86,Generic LED Lighting,Lighting Column,600,No,31/12/2021,528029,184265,-0.155162,51.542772,POINT (-0.155162 51.542772),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
248782,OSSULSTON STREET,St Pancras and Somers Town,NW1 2DB,J/W EUSTON RD,35/18,102,Generic LED Lighting,Lighting Column,800,No,24/11/2023,529979,182762,-0.127613,51.528819,POINT (-0.127613 51.528819),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
242184,DALEHAM GARDENS,Belsize,NW3 5BU,O/S NO 31,35/18,42,Generic LED Lighting,Lighting Column,600,No,31/12/2021,526687,185082,-0.174209,51.550416,POINT (-0.174209 51.550416),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
242144,CHURCH ROW,Frognal,NW3 6UP,O/S NO 25,35/18,109,High Pressure Sodium,Lighting Column,400,Yes,10/02/2000,526330,185638,-0.179156,51.555493,POINT (-0.179156 51.555493),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
245414,CLARENCE WAY,Haverstock,NW1 8DG,O/S NO 64,35/18,39,Generic LED Lighting,Lighting Column,500,Yes,31/12/2021,528638,184419,-0.146328,51.544017,POINT (-0.146328 51.544017),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
246778,ARLINGTON ROAD,Regents Park,NW1 7ES,O/S 87,35/18,104,LED Street Lights,Lighting Column,800,Yes,31/12/2021,528956,183573,-0.142055,51.536342,POINT (-0.142055 51.536342),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
245485,GRAFTON ROAD,Gospel Oak,NW5 4BA,BY 120-124,35/18,93,Generic LED Lighting,Lighting Column,800,No,,528495,185014,-0.148172,51.549397,POINT (-0.148172 51.549397),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
249161,GORDON SQUARE,Bloomsbury,WC1H 0PP,OPP NO 30-35 INSTITUTE OF ARCHAEOLOGY,35/18,102,Generic LED Lighting,Lighting Column,500,No,24/11/2023,529716,182293,-0.131575,51.524665,POINT (-0.131575 51.524665),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
240593,FAWLEY ROAD,West Hampstead,NW6 1SJ,S/O NO. 15,35/18,42,Generic LED Lighting,Lighting Column,600,No,31/12/2021,525625,185028,-0.189537,51.550168,POINT (-0.189537 51.550168),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
243293,NORTH END WAY,Hampstead Town,NW3 7HG,OPP N 3/4,35/18,93,Generic LED Lighting,Lighting Column,1000,No,10/01/2000,526025,186987,-0.18307,51.567685,POINT (-0.18307 51.567685),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
242507,MARESFIELD GARDENS,Belsize,NW3 5TE,OPP NO 50,35/18,42,Generic LED Lighting,Lighting Column,600,No,31/12/2021,526438,185060,-0.177807,51.550275,POINT (-0.177807 51.550275),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
246855,DELANCEY STREET,Camden Town,NW1 7NH,BY 36,35/18,106,Generic LED Lighting,Lighting Column,800,Yes,10/02/1984,528866,183591,-0.143345,51.536524,POINT (-0.143345 51.536524),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
250101,WICKLOW STREET,Kings Cross,WC1X 9JD,OPP NOSE HOSPITAL,35/18,56,Generic LED Lighting,Lighting Column,800,No,24/11/2023,530644,182854,-0.117997,51.529493,POINT (-0.117997 51.529493),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
249274,MALET STREET,Bloomsbury,WC1B 5DP,O/S SENATE HOUSE,35/18,107,Generic LED Lighting,Lighting Column,800,No,21/10/2000,529917,181812,-0.128856,51.520296,POINT (-0.128856 51.520296),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
262587,TOTTENHAM COURT ROAD,Bloomsbury,W1T 4TB,J/W TOTTENHAM STREET,35/18,178,Generic LED Lighting,Lighting Column,800,Yes,12/12/2023,529510,181864,-0.1347,51.520857,POINT (-0.1347 51.520857),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
249548,ARGYLE SQUARE,Kings Cross,WC1H 8AS,FRONT OF N 7,35/18,51,Generic LED Lighting,Lighting Column,800,No,24/11/2023,530349,182843,-0.122252,51.529462,POINT (-0.122252 51.529462),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
242200,ELDON GROVE,Hampstead Town,NW3 5PH,OPP NO 8,35/18,38,Generic LED Lighting,Lighting Column,500,Yes,11/12/1976,526804,185462,-0.172386,51.553805,POINT (-0.172386 51.553805),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
245891,TASKER ROAD,Gospel Oak,NW3 2YR,OPP NO 4,35/18,29,Generic LED Lighting,Lighting Column,500,No,31/12/2021,527815,185160,-0.157921,51.550863,POINT (-0.157921 51.550863),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
245563,HAWLEY ROAD,Camden Town,NW1 8NX,OPP PUB,35/18,93,Generic LED Lighting,Lighting Column,1000,No,10/02/1975,528935,184279,-0.142099,51.542691,POINT (-0.142099 51.542691),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
259915,LONG YARD,Holborn and Covent Garden,WC1N 3LU,,35/18,42,Generic LED Lighting,Wall Light,,,24/11/2023,530597,182114,-0.118949,51.522853,POINT (-0.118949 51.522853),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
244081,HAVERSTOCK HILL,Gospel Oak,NW3 2AY,OPP ANTRIM GROVE,35/18,61,Generic LED Lighting,Lighting Column,800,Yes,,527559,184917,-0.161699,51.548737,POINT (-0.161699 51.548737),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
241853,PALMERSTON ROAD,Kilburn,NW6 2JU,O/S DAY CENTRE,35/18,48,Generic LED Lighting,Lighting Column,600,No,31/12/2021,525065,184446,-0.197817,51.545062,POINT (-0.197817 51.545062),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:12 PM
262682,HATTON GARDEN,Holborn and Covent Garden,EC1N 8LX,S/O NO. 58D,35/18,51,Generic LED Lighting,Lighting Column,1000,No,20/12/2023,531273,182014,-0.109248,51.521798,POINT (-0.109248 51.521798),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
246555,RAVELEY STREET,Kentish Town North,NW5 2HS,ON FLANK OF 27 LUPTON STREET,35/18,22,Generic LED Lighting,Lighting Column,500,No,31/12/2021,529138,185677,-0.138661,51.555209,POINT (-0.138661 51.555209),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
262888,BLOOMSBURY STREET,Bloomsbury,WC1B 3SR,J/W STREATHAM STREET,35/18,51,Generic LED Lighting,Lighting Column,1000,No,06/02/2024,530044,181482,-0.127148,51.517301,POINT (-0.127148 51.517301),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:11 PM
250436,GREAT RUSSELL STREET,Bloomsbury,WC1A 2NJ,OPP.74-77,35/18,39,Generic LED Lighting,Lighting Column,600,Yes,,530261,181687,-0.123947,51.519093,POINT (-0.123947 51.519093),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
249325,TORRINGTON PLACE,Bloomsbury,WC1E 7HX,"J/W BYNG PLACE, O/S UNIVERSITY OF LONDON",35/18,104,LED Street Lights,Lighting Column,800,Yes,,529745,182104,-0.131226,51.52296,POINT (-0.131226 51.52296),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
245610,INKERMAN ROAD,Kentish Town South,NW5 3BT,O/S NO 35A,35/18,27,Generic LED Lighting,Lighting Column,400,No,31/12/2021,528797,184919,-0.143854,51.548474,POINT (-0.143854 51.548474),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
247222,REGENT'S PARK ROAD,Primrose Hill,NW1 7SU,OPP NO 54/56,35/18,104,LED Street Lights,Lighting Column,800,Yes,10/02/2000,528083,183772,-0.154563,51.538329,POINT (-0.154563 51.538329),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
245300,BELMONT STREET,Haverstock,NW1 8HL,O/S NO 94,35/18,21,Generic LED Lighting,Lighting Column,600,No,31/12/2021,528305,184486,-0.151103,51.544695,POINT (-0.151103 51.544695),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
248380,YORK WAY,Kings Cross,N1C 4BZ,BY BRIDGE,35/18,110,Generic LED Lighting,Lighting Column,1000,No,31/12/2021,530320,183530,-0.122416,51.535643,POINT (-0.122416 51.535643),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
259188,ST CHAD'S PLACE,Kings Cross,WC1X 9DB,SMALL PATH WAY,35/18,21,Generic LED Lighting,Wall Light,,,16/02/2021,530563,182987,-0.119115,51.530707,POINT (-0.119115 51.530707),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:15 PM
248853,PANCRAS ROAD,Kings Cross,N1C 4AL,OPP CLUB,35/18,48,Generic LED Lighting,Lighting Column,1000,No,29/11/2023,530108,183117,-0.125623,51.53198,POINT (-0.125623 51.53198),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:13 PM
244112,KING HENRY'S ROAD,Primrose Hill,NW1 8UR,J/O GLOUCESTER AVENUE L.H,35/18,60,Generic LED Lighting,Lighting Column,800,No,31/12/2021,528009,184257,-0.155453,51.542704,POINT (-0.155453 51.542704),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,05/04/2025 02:40:14 PM
